"Podcast: Globaalsed eestlased" ; 543 ; 35
;;; "Tamara Talks with Björn Norralt" ; 131 ; 0 ; 3 ; 1
;;; "Tamara Talks with Lennart and Mihkel" ; 169 ; 1 ; 6 ; 7
;;; "Tamara Talks with Ott Ramst ja Caspar Ruul" ; 222 ; 1 ; 7 ; 0
;;; "Tamara Talks Music Special with Nora Von B" ; 298 ; 4 ; 6 ; 0
;;; "Tamara Talks with Rauno Kutti" ; 339 ; 1 ; 5 ; 1
;;; "Tamara Talks with Peeter Proos" ; 270 ; 2 ; 9 ; 1
;;; "Tamara Talks with Rauno Meronen ja Martin Junna" ; 169 ; 3 ; 2 ; 0
;;; "Tamara Talks with Joosep Vau 2 (aka PK)" ; 440 ; 1 ; 9 ; 0
;;; "Tamara Talks with Rait Kangur 2" ; 149 ; 1 ; 3 ; 0
;;; "Tamara Talks with Dan Stansbie again" ; 94 ; 1 ; 3 ; 0
;;; "Tamara Talks with Kaia Oidekivi" ; 105 ; 1 ; 4 ; 1
;;; "Tamara Talks With Sander Raudsepp" ; 237 ; 3 ; 4 ; 1
;;; "Tamara Talks with Kristel Aaslaid" ; 411 ; 5 ; 8 ; 1
;;; "Tamara Talks Guitar Special #2 With Kristjan, Len ja Henri" ; 123 ; 2 ; 2 ; 0
;;; "Tamara Talks With Sander Sink" ; 100 ; 3 ; 3 ; 0
;;; "Tamara Talks with Kaupo and Mihkel" ; 104 ; 0 ; 2 ; 1
;;; "Tamara Talks with Kunstnik Maria Evestus" ; 120 ; 3 ; 5 ; 0
;;; "Tamara Talks with Triinu Lomp" ; 161 ; 1 ; 5 ; 0
;;; "Tamara Talks with Kristjan Põld" ; 164 ; 2 ; 3 ; 0
;;; "Tamara Talks with actor Rauno Meronen" ; 139 ; 1 ; 9 ; 0
;;; "Tamara Talks With Nora Von B" ; 305 ; 3 ; 4 ; 0
;;; "Tamara Talks With Oskar Malleus" ; 145 ; 1 ; 6 ; 0
;;; "Tamara Talks Music Special with Len + Henri" ; 92 ; 0 ; 6 ; 0
;;; "Tamara Talks Episode  8  Rait Kangur" ; 102 ; 1 ; 4 ; 1
;;; "Tamara Talks Episode 7 Joosep Vau" ; 688 ; 2 ; 15 ; 0
;;; "Tamara Talks Episode 6 Kristjan (420 special)" ; 163 ; 0 ; 5 ; 0
"Täitsa Pekkis" ; 26 ; 5
;;; "Täitsa Pekkis - #4 Liisa-Maria Connor - Distsipliin ja harjumused" ; 629 ; 0 ; 1 ; 0
;;; "Täitsa Pekkis - #3 Priit Mihkelson - Jonnakus viib sihile" ; 183 ; 0 ; 0 ; 0
;;; "Täitsa Pekkis -  #2 Kris Leinatamm - Loobu "Ma ei saa" mentaliteedist" ; 105 ; 0 ; 0 ; 0
;;; "Täitsa Pekkis - #1 Kaido Pajumaa - Vaimsus ja rahu" ; 136 ; 0 ; 0 ; 0
;;; "Täitsa Pekkis - #0 Katrin Ja Mihkel - Miks me alustasime?" ; 124 ; 0 ; 0 ; 0
"Ettevõtlusraadio" ; 92 ; 40
